Channel Category,Views,Likes,Dislikes,Comments,Publish Date
Music,21509302,506432,22557,22405,2017-11-06
Music,1200993,48702,4148,1901,2017-11-03
Music,215844670,2183837,127096,93053,2017-11-01
Music,229204429,1672960,120063,53432,2017-11-01
Music,64847708,1034856,49887,40433,2017-10-31
Music,18076887,289730,16827,8689,2017-10-24
Music,1084058,17570,6240,1196,2017-10-17
Music,77118189,1218546,73360,61991,2017-10-06
Music,40161967,639088,57251,38966,2017-09-22
Music,12218159,137722,11445,2457,2017-09-16
Music,13869353,256540,14333,4860,2017-09-06
Music,98221472,946477,41673,22388,2017-09-04
Music,207200094,1834305,96640,58905,2017-08-21
Music,31148704,423321,21909,10331,2017-08-18
Music,59424157,577549,24545,11871,2017-08-17
Music,13570329,295301,12000,6760,2017-08-15
Music,4372901,72246,5721,1388,2017-08-07
Music,103769945,984025,42352,28574,2017-08-04
Music,15654715,286114,7797,4968,2017-08-01
Music,252073045,2122192,107168,63412,2017-07-28
Music,167354500,1315560,72026,33550,2017-07-11
Music,12003227,438170,36461,17752,2017-07-07
Music,261875093,2226822,162246,89216,2017-07-06
Music,59831424,510380,23653,9124,2017-07-04
Music,80331389,981204,47448,24201,2017-06-21
Music,19233936,373525,14913,11211,2017-06-16
Music,28382110,272739,11794,5691,2017-06-14
Music,246438976,2355261,161213,117948,2017-06-11
Music,197387896,1632433,137580,60472,2017-06-08
Music,188905942,1699495,94778,51178,2017-05-26
Music,62005539,1210024,127795,65166,2017-05-24
Music,222036910,1927752,175857,81510,2017-05-17
Music,18727044,311882,21508,10139,2017-05-12
Music,13306081,210183,15109,5923,2017-04-27
Music,92304958,789341,42291,24764,2017-04-21
Music,11252656,187778,29304,9607,2017-04-19
Music,22035804,422140,106127,27271,2017-04-03
Music,130736849,1611714,63398,40453,2017-03-22
Music,454826638,3436157,249177,146123,2017-03-21
Music,135673263,1197593,69376,38868,2017-03-17
Music,10115087,166348,13037,5193,2017-03-14
Music,12117309,168912,15330,5494,2017-03-10
Music,274315117,1845100,130231,61313,2017-03-09
Music,1016415568,7311726,536775,298864,2017-03-08
Music,94462522,916770,47679,30771,2017-03-02
Music,69486540,805081,43118,28574,2017-02-21
Music,27242347,394692,32341,17653,2017-02-18
Music,1950693,55931,11664,4083,2017-02-16
Music,87924302,1047768,48875,32571,2017-02-13
Music,105007298,1071619,186288,48061,2017-02-13
Music,70501331,809631,62227,27199,2017-02-10
