Channel Category,Views,Likes,Dislikes,Comments,Publish Date
Gaming,40290191,670643,18630,76727,2015-07-29
Gaming,27293527,649570,13678,56722,2015-07-25
Gaming,30014347,843862,14204,78844,2015-07-22
Gaming,23025915,591647,12708,43398,2015-07-19
Gaming,21914046,689771,16655,47659,2015-07-11
Gaming,25921810,495927,15636,60801,2015-07-08
Gaming,19864750,625441,11481,27276,2015-07-01
Gaming,20114699,603912,13789,53692,2015-06-27
Gaming,19902373,620895,14122,45073,2015-06-24
Gaming,21958057,426859,11790,47473,2015-06-10
Gaming,42692951,1196191,64896,88072,2015-05-27
Gaming,17913525,632742,14553,33850,2015-05-24
Gaming,8559192,264058,5219,26037,2015-05-21
Gaming,48238726,943333,21833,47998,2015-05-09
Gaming,28911451,634280,13337,22004,2015-05-06
Gaming,12781622,505058,17403,179356,2015-05-02
Gaming,28596067,890030,18172,59425,2015-04-29
Gaming,13336294,325132,10202,24317,2015-04-22
Gaming,23508395,674081,12715,38963,2015-04-18
Gaming,12054338,305266,15274,15742,2015-04-15
Gaming,15551959,355122,9090,24683,2015-04-08
Gaming,22783778,482776,12626,23119,2015-04-04
Gaming,14056947,278957,5382,14183,2015-04-01
Gaming,23424044,562400,13141,36380,2015-03-26
Gaming,36058498,678780,26405,63400,2015-03-23
Gaming,9944444,204056,4298,18826,2015-03-18
Gaming,22261433,317916,11644,18564,2015-03-07
Gaming,27234831,548902,13068,60703,2015-03-04
Gaming,21111750,627310,15503,38763,2015-02-28
Gaming,11065870,278950,8803,15045,2015-02-25
Gaming,36142548,574511,13104,37148,2015-02-18
Gaming,15389745,262852,9469,15104,2015-02-10
Gaming,15906139,551951,16415,47797,2015-02-08
Gaming,21182769,346238,10389,27621,2015-02-04
Gaming,13242636,347228,8410,14721,2015-01-11
Gaming,10023477,219448,6753,13234,2015-01-05
Gaming,12674844,290746,7020,12339,2014-12-20
Gaming,43084975,706184,18716,30758,2014-12-13
Gaming,8229696,213297,4465,17459,2014-12-06
Gaming,19535957,294966,14541,22061,2014-11-30
Gaming,17059421,550747,10895,40317,2014-11-27
Gaming,14686483,319501,8629,14705,2014-11-24
Gaming,19949568,419076,9124,46279,2014-11-12
Gaming,11844527,182053,4167,27191,2014-11-05
Gaming,18778142,398873,9831,26769,2014-10-29
Gaming,15974580,326912,8604,13890,2014-10-26
Gaming,29490367,521908,22210,37140,2014-10-23
Gaming,41025718,540434,20198,27858,2014-10-15
Gaming,16457465,358720,10266,25957,2014-10-12
Gaming,15367237,461075,14860,27515,2014-10-08
Gaming,5548218,164684,5576,19132,2014-09-15
Gaming,17715085,388201,18855,11873,2014-09-12
