Channel Category,Views,Likes,Dislikes,Comments,Publish Date
Comedy,8440709,339906,12594,23737,2016-04-24
Comedy,16882342,512622,8055,21240,2016-04-18
Gaming,11332159,507027,6633,21236,2016-04-14
Gaming,26494766,834463,47498,61681,2016-04-09
Comedy,6912399,339202,4003,16873,2016-04-01
Comedy,18093384,707929,10833,56292,2016-03-23
Comedy,10767116,571479,8070,35732,2016-03-15
Comedy,11725084,534400,11564,32629,2016-03-02
Comedy,23888298,1388182,21632,44520,2016-02-27
Gaming,9564964,397554,6025,21733,2016-02-22
Gaming,9233369,402614,6807,23246,2016-02-19
Comedy,14886325,926916,17930,85736,2016-02-17
Entertainment,22057866,944343,15743,66886,2016-02-03
Comedy,24662461,1431710,20112,110397,2016-01-27
Comedy,13218356,649513,13947,26932,2016-01-24
Entertainment,30166607,1177265,11204,55500,2016-01-13
Comedy,17819712,621672,10503,34140,2016-01-06
People & Blogs,10781058,705277,7025,67106,2015-12-31
Comedy,15810134,512331,11468,34305,2015-12-17
Comedy,20498017,911131,30474,144306,2015-12-08
Entertainment,18272915,754878,12139,60420,2015-12-02
Comedy,27758005,855705,15847,35739,2015-11-27
Entertainment,8614239,328998,5707,14743,2015-11-25
Entertainment,14917630,573185,8106,45831,2015-11-22
Entertainment,6302679,428790,10089,44192,2015-11-17
Entertainment,15480424,660895,29246,47774,2015-10-30
Entertainment,12449710,365022,5760,18004,2015-10-27
Entertainment,14319829,600980,6815,44515,2015-10-17
Gaming,8621829,377821,4429,21998,2015-10-10
Comedy,16872858,588432,6230,47697,2015-10-07
Entertainment,15263392,665475,6901,45289,2015-10-04
Comedy,26647196,845479,10315,55956,2015-09-28
Entertainment,13476878,554307,6024,21742,2015-09-19
Comedy,10378362,551405,11114,86507,2015-09-10
Comedy,15076927,684537,8370,21789,2015-09-04
Comedy,13236620,654241,9778,40929,2015-08-30
Entertainment,29151523,819383,14022,68003,2015-08-20
Entertainment,19185950,537985,8280,21522,2015-08-09
Comedy,16468892,735978,7389,41770,2015-08-07
Entertainment,10270319,354098,4700,14674,2015-08-04
Entertainment,12949728,489599,5375,27247,2015-07-30
Comedy,13437639,519798,10088,23453,2015-07-25
Entertainment,23384154,804858,16726,53687,2015-07-05
Entertainment,7627534,253583,5282,12177,2015-07-01
