Channel Category,Views,Likes,Dislikes,Comments,Publish Date
Comedy,6594431,264737,2593,33963,2011-12-30
Comedy,13685538,538570,4450,29948,2011-12-19
Entertainment,6913999,231240,2847,27021,2011-12-11
Entertainment,10800395,327148,4732,44194,2011-12-04
Entertainment,7025755,230492,2793,13956,2011-11-26
Entertainment,6887353,292593,2174,20172,2011-11-20
Entertainment,11328547,372291,5271,30059,2011-11-13
Entertainment,5252770,223587,2111,27603,2011-11-08
Entertainment,9420978,324190,5977,36527,2011-10-30
Entertainment,8656961,267932,2646,17464,2011-10-22
Entertainment,13025736,487295,5719,54426,2011-10-16
Entertainment,7819037,312569,2742,28913,2011-10-10
Entertainment,5750140,236956,5101,13995,2011-09-26
People & Blogs,6395458,324989,4538,54879,2011-09-17
People & Blogs,14102820,774263,16296,75076,2011-09-10
